2019-08-04 20:21:58,197 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6aa8ceb6: startup date [Sun Aug 04 20:21:58 IST 2019]; root of context hierarchy
2019-08-04 20:21:58,246 | INFO | XmlBeanDefinitionReader.java 315 | Loading XML bean definitions from class path resource [context.xml]
2019-08-04 20:21:59,139 | INFO | DefaultListableBeanFactory.java 598 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7b9a4292: defining beans [routeBuilder,template,consumerTemplate,camel-1:beanPostProcessor,camel-1]; root of factory hierarchy
2019-08-04 20:21:59,375 | INFO | DefaultCamelContext.java 1619 | Apache Camel 2.13.0 (CamelContext: camel-1) is starting
2019-08-04 20:21:59,376 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2019-08-04 20:21:59,500 | INFO | DefaultTypeConverter.java 50 | Loaded 176 type converters
2019-08-04 20:21:59,630 | INFO | DefaultCamelContext.java 1806 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2019-08-04 20:21:59,631 | INFO | DefaultCamelContext.java 1816 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-08-04 20:21:59,635 | INFO | FileEndpoint.java 83 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-08-04 20:21:59,636 | INFO | FileEndpoint.java 89 | Using default memory based idempotent repository with cache max size: 1000
2019-08-04 20:21:59,679 | INFO | DefaultCamelContext.java 2310 | Route: route1 started and consuming from: Endpoint[file://input?noop=true]
2019-08-04 20:21:59,679 | INFO | DefaultCamelContext.java 1654 | Total 1 routes, of which 1 is started.
2019-08-04 20:21:59,681 | INFO | DefaultCamelContext.java 1655 | Apache Camel 2.13.0 (CamelContext: camel-1) started in 0.305 seconds
2019-08-04 20:22:43,851 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6aa8ceb6: startup date [Sun Aug 04 20:22:43 IST 2019]; root of context hierarchy
2019-08-04 20:22:43,917 | INFO | XmlBeanDefinitionReader.java 315 | Loading XML bean definitions from class path resource [context.xml]
2019-08-04 20:22:44,598 | INFO | DefaultListableBeanFactory.java 598 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7b9a4292: defining beans [routeBuilder,template,consumerTemplate,camel-1:beanPostProcessor,camel-1]; root of factory hierarchy
2019-08-04 20:22:44,839 | INFO | DefaultCamelContext.java 1619 | Apache Camel 2.13.0 (CamelContext: camel-1) is starting
2019-08-04 20:22:44,840 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2019-08-04 20:22:44,959 | INFO | DefaultTypeConverter.java 50 | Loaded 176 type converters
2019-08-04 20:22:45,064 | INFO | DefaultCamelContext.java 1806 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2019-08-04 20:22:45,064 | INFO | DefaultCamelContext.java 1816 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-08-04 20:22:45,070 | INFO | FileEndpoint.java 83 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-08-04 20:22:45,070 | INFO | FileEndpoint.java 89 | Using default memory based idempotent repository with cache max size: 1000
2019-08-04 20:22:45,105 | INFO | DefaultCamelContext.java 2310 | Route: route1 started and consuming from: Endpoint[file://input?noop=true]
2019-08-04 20:22:45,106 | INFO | DefaultCamelContext.java 1654 | Total 1 routes, of which 1 is started.
2019-08-04 20:22:45,108 | INFO | DefaultCamelContext.java 1655 | Apache Camel 2.13.0 (CamelContext: camel-1) started in 0.268 seconds
2019-08-04 20:24:20,970 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6aa8ceb6: startup date [Sun Aug 04 20:24:20 IST 2019]; root of context hierarchy
2019-08-04 20:24:21,021 | INFO | XmlBeanDefinitionReader.java 315 | Loading XML bean definitions from class path resource [context.xml]
2019-08-04 20:24:21,702 | INFO | DefaultListableBeanFactory.java 598 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7b9a4292: defining beans [routeBuilder,template,consumerTemplate,camel-1:beanPostProcessor,camel-1]; root of factory hierarchy
2019-08-04 20:24:21,940 | INFO | DefaultCamelContext.java 1619 | Apache Camel 2.13.0 (CamelContext: camel-1) is starting
2019-08-04 20:24:21,940 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2019-08-04 20:24:22,064 | INFO | DefaultTypeConverter.java 50 | Loaded 176 type converters
